Story intro,Story number,Wikipedia concepts,longitude,latitude
Title: Pultost cow cheese. Event: Story begin. Description: The MOVING reference member state of this VC is SKANDINAVIAN UCO. The reference MOVING Card ID of this VC is VC 08 SCA. Pultost is a sour milk cheese made from cow's milk without the use of rennet. Instead; a self-produced culture of old strains of lactic bacteria is added to start the coagulation. Once the cheese is drained; crumbled and fermented; salt and caraway seeds are added to stop fermentation; giving to it a special character. The cheese can be eaten fresh or matured in wooden containers up to one year. The leftover cream is used to produce sour cream or butter. This cheese is endorsed by the Slowfood Foundation for Biodiversity.,301,bed; altitude; bacteria; year; sour cream; municipality; trout; cheese; number; population density; cooperation; knowledge; innovation; butter; biodiversity; regime; milk; rennet; pultost; cream; cattle; gross value added; employment; etnedal; water; grassland; lesja; lesjaskogsvatnet; system; management; per capita income; self; fermentation; asset; lake,14.76093611111111,64.77964194444445
Title: Mushrooms - NTFP. Event: Story begin. Description: The MOVING reference member state of this VC is NMK. The reference MOVING Card ID of this VC is VC 03 NMK. Key actors dealing with NTFP (Mushrooms) in Maleshevija : a) Agro Maks b) Balivski c) Emilija Pehcheva d) Krstovski Gjorgji There is many private individuals/families leaving in the region of Maleshevija; who are engaged in producing and selling Mushrooms; next to few businesses.,187,innovation; bed; republic; year; berovo; gross value added; employment; technology; bregalnica; buyout; reference; empowerment; tea; marketing; number; mountain; population density; infrastructure; future; rights; strumica; per capita income; poverty; potential,21.716669444444445,41.65
Title: Tea herbs - NTFP. Event: Story begin. Description: The MOVING reference member state of this VC is NMK. The reference MOVING Card ID of this VC is VC 06 NMK. Key actors dealing with NTFP in Maleshevija : a) Agro Maks b) Balivski c) Emilija Pehcheva d) Krstovski Gjorgji . There are many private individuals/families leaving in the region of Maleshevija; who are engaged in collecting and selling this product.,190,respiratory system; innovation; bed; republic; year; berovo; gross value added; employment; bregalnica; empowerment; tea; number; mountain; population density; strumica; per capita income; majority; poverty; potential,21.716669444444445,41.65
Title: Honey; fruits - honey with dried fruits of plum; apricot and fig. Event: Story begin. Description: The MOVING reference member state of this VC is NMK. The reference MOVING Card ID of this VC is VC 21 NMK. Key actors dealing with honey and fruits in Maleshevija and the kew brands: a) Pcelarstvo Bobolibbksi b) Shumi Med c) Maleshevski Med d) Pcelarstvo Radinski . At national level there are 2 national federations that are members of a larger umbrella organization called the Federation of Farmers of Republic of Macedonia that unites all farmers in the country. Organic beekeepers are each individually involved through the local associations of producers into the Macedonian Organic Producers Federation which represents exclusively the interests of organic producers.,205,innovation; bed; cinnamon; republic; year; berovo; gross value added; climate; employment; bregalnica; grassland; number; population density; honey; strumica; per capita income; vanilla,21.716669444444445,41.65
Title: Value Chain. Event: Story begin. Description: The MOVING reference member state of this VC is TURKEY. The reference MOVING Card ID of this VC is VC 20 TR. Hazelnut farmers; The Union of Hazelnut Agricultural Sales Cooperatives (F SKOB RL K); traders; processors and exporters are the main actors in this sector. Hazelnuts are cultivated mostly on small-scale family farms and harvesting is a highly labor-intensive activity. Farmers require assistance from seasonal agricultural workers; mainly migrant workers; for the harvest period. Hazelnuts are widely used in confectionery; especially in the chocolate industry. Hazelnut production is crucial to the economic activity of the region and affects many people directly or indirectly.,454,ordu; bed; reason; year; samsun; sales; sea; reference; number; mountain; population density; world; giresun; frost; france; italy; innovation; hazelnut; black; gross value added; employment; sustainability; düzce; black sea region; drought; turkey; supply and demand; per capita income; trabzon; soil erosion; black sea,36.0,39.0
Title: Promotion of the production; harvesting and processing of wool from the Swiss Jura region by an association. Event: Story begin. Description: The MOVING reference member state of this VC is SWITZERLAND 2. The reference MOVING Card ID of this VC is VC 17 CH2. The VC is composed of about 60 sheep farmers; members of the association and consumers. The association collects the wool and then processes and adds value to it. The wool is washed in the German part of Switzerland; then carded in the Jura and sold at the regional wool centre. The wool is spun; dyed; felted and transformed into various creations. In addition; educational activities are organised.,425,köniz; meiringen; thunstetten; crémines; hasliberg; courchapoix; bätterkinden; amsoldingen; year; gurzelen; lugnez; natural capital; sigriswil; sorvilier; reutigen; vendlincourt; evilard; fahrni; niederönz; unterlangenegg; herzogenbuchsee; bolligen; gampelen; brüttelen; eggiwil; biglen; switzerland; documentation; perrefitte; thörigen; wachseldorn; walkringen; wattenwil; la grande béroche; develier; porrentruy; rossemaison; corgémont; delémont; aarberg; brenzikofen; heimiswil; wyssachen; eschert; rebévelier; tschugg; adelboden; les breuleux; oberbalm; unterseen; rohrbachgraben; meienried; mötschwil; mühleberg; kernenried; toffen; guttannen; wiedlisbach; innovation; hermrigen; gsteigwiler; aefligen; buchholterberg; tavannes; courrendlin; interlaken; farnern; thierachern; iseltwald; clavaleyres; münchenbuchsee; niedermuhlern; pleigne; grosshöchstetten; les bois; bed; kandergrund; gurbrü; wool; courtételle; ittigen; signau; rubigen; cortaillod; radelfingen; krauchthal; mirchel; finsterhennen; schwadernau; schelten; awareness; limestone; därstetten; auswil; france; lyssach; stettlen; laupen; muriaux; walperswil; chantemerle; alchenstorf; zielebach; les verrières; saicourt; oberlangenegg; iffwil; loveresse; eriz; wichtrach; täuffelen; kiesen; oberhünigen; eriswil; boltigen; dotzigen; rümligen; scheuren; schwarzhäusern; koppigen; obersteckholz; les brenets; uttigen; cornol; ochlenberg; safnern; brienzwiler; soyhières; zweisimmen; soubey; life; bannwil; worben; schattenhalb; lotzwil; mattstetten; niederhünigen; la brévine; neuenegg; kehrsatz; trachselwald; ligerz; vechigen; meinisberg; epsach; rüderswil; bonfol; melchnau; mervelier; saignelégier; siselen; steffisburg; cornaux; coeuve; gerzensee; fraubrunnen; valbirse; rumisberg; per capita income; niederbipp; attiswil; wengi; rüschegg; grindelwald; hagneck; merzligen; schwarzenburg; wilderswil; le bémont; seeberg; jaberg; reisiswil; uetendorf; beurnevésin; guggisberg; ederswiler; number; büetigen; population density; wangenried; uebeschi; oeschenbach; rütschelen; valangin; courroux; saanen; gondiswil; freimettigen; kaufdorf; därligen; bleienbach; pohlern; rüegsau; münchenwiler; zwieselberg; pieterlen; orpund; schangnau; saxeten; beatenberg; wileroltigen; leuzigen; utzenstorf; riggisberg; teaching; ferenbalm; frutigen; bönigen; burgistein; heiligenschwendi; ersigen; zäziwil; leissigen; ostermundigen; ipsach; inkwil; kandersteg; blumenstein; courchavon; cormoret; les planchettes; kriechenwil; bourrignon; champoz; reconvilier; gündlischwand; kallnach; middle ages; trubschachen; le noirmont; kirchlindach; oberdiessbach; moutier; grossaffoltern; herbligen; diemtigen; boudry; grassland; rumendingen; organization; mörigen; heimenhausen; seftigen; tramelan; governance; courtelary; moosseedorf; krattigen; dürrenroth; boécourt; la baroche; hindelbank; hellsau; sonvilier; ursenbach; sales; reference; rüeggisberg; sumiswald; bern; diemerswil; lauterbrunnen; lütschental; wimmis; bellmund; berken; fontenais; courtedoux; madiswil; willadingen; waste; mettembert; landiswil; huttwil; münsingen; treiten; courgenay; gross value added; innertkirchen; milvignes; wynigen; belprahon; les enfers; konolfingen; schüpfen; habkern; damphreux; la sagne; aegerten; nidau; wynau; hilterfingen; le locle; enges; frauenkappelen; cortébert; oberbipp; le landeron; jegenstorf; langenthal; sheep; aarwangen; häutligen; les genevez; lüscherz; lauperswil; spiez; movelier; employment; vinelz; longo maï; wiggiswil; bowil; müntschemier; lauenen; oppligen; lützelflüh; la neuveville; meikirch,8.231973055555555,46.798561944444444
Title: Di Nucci renews the tradition of cheese production; supporting breeders and sustainable livestock. Event: Story begin. Description: The MOVING reference member state of this VC is ITALY UNIMOL and UNIPI. The reference MOVING Card ID of this VC is VC 05 IT. The Di Nucci family organised VCs involving local economic actors (e.g.; breeders) in high-quality traditional dairy productions. The 'Di Nucci' dairy incorporates socio-cultural tradition as a central element of its marketing strategy. It promotes or collaborates with projects that enhance the Alto Molise territory's specificity (such as tourism initiatives).,140,bed; steel; education; year; municipality; value chain; caciocavallo; reference; number; mountain; population density; tradition; italy; cooperation; innovation; generation; town; minutes; milk; health; gross value added; employment; grassland; certification; marketing; transhumance; collaboration; per capita income; agnone; strategy; dairy; molise; landscape; governance,12.5,42.5
Title: 'STRANDZHANSKI MANOV MED' (STRANDZHA MANNA HONEY). Event: Story begin. Description: The MOVING reference member state of this VC is BULGARIA. The reference MOVING Card ID of this VC is VC 15 BG. Beekeeping has always been a common activity in the Strandzha region and the design of the bee skeps (baskets) and stumps used in the region today date from the end of the 19th century. The honey is collected during the months of June; July and August when the bees are foraging on the thick; sweet juice called 'honeydew' ('manna') that is emitted from the leaves of the oak trees under the very specific climatic conditions of the Strandzha massif. Strandzhanski manov med has been registered as a PDO since April 2019. It has a very specific reddish colour; thick consistency and slight acidity bitter taste. Most honey is sold locally; but there are significant sales throughout Bulgaria (including by online sales / mail order) - plus demand from abroad. Other therapeutic bee products are also made by the same bee-keepers.,36,bed; mail; south; year; bulgaria; taste; flora; vegetation; soil; consistency; sales; reference; number; mountain; population density; burgas province; protected area; province; productivity; honey; design; tsarevo municipality; humidity; logo; strandzha nature park; burgas; massif; knowledge; manna; innovation; august; black; july; gross value added; climate; employment; juice; demand; invasive species; natura 2000; century; june; per capita income; asset; strandzha; black sea,25.5,42.75
Title: 'GASTRO LOCAL'. Event: Story begin. Description: The MOVING reference member state of this VC is ROMANIA. The reference MOVING Card ID of this VC is VC 18 RO. The value chain is very short and very simple. Visitors to a village have the opportunity to enhance their holiday or day-trip experience in a rural mountain setting to be enhanced by being served a meal in a local houshold that has been prepared with fresh traditional local products. Whilst at the same time being fully confident that all food safety and hygiene rules required by national / EU law have been being complied with.,246,bed; tulcea; social capital; altitude; alliance; year; commune; concept; value chain; county; romania; experience; consistency; reference; number; mountain; population density; hygiene; hospitality; tradition; village; carpathian mountains; legislation; innovation; transylvania; bune; business; need; social; health; gross value added; employment; community; water; food; grassland; hill; marketing; per capita income; household; sibiu; landscape,25.0,46.0
Title: Beeswax products including soap; candles; skincare and food wraps (Blaenau Gwent). Event: Story begin. Description: The MOVING reference member state of this VC is SCOTLAND HUTTON. The reference MOVING Card ID of this VC is VC 27 UK. Gwent Valley (or Blaenau Gwent in Welsh) (LAU1) Beeswax products include candles; soaps; other beauty products and reusable food wraps (i.e.; instead of cling film). Honey Bee Beautiful for instance is a sustainable honey and beeswax skincare business based in Gwent Valley. They only use raw Welsh Honey and Beeswax cappings. Meanwhile; Sirhowy Valley Honeybee are a social enterprise honey producer in Gwent but are starting to branch into education (i.e.; through schools workshops) and beeswax products. market of beeswax wraps is increasing as society becomes more aware of reducing their environmental footprint (i.e. using less single-use plastics).,272,social enterprise; bed; education; ecosystem; year; importance; scotland; number; brecon beacons national park; population density; awareness; honey; beeswax; knowledge; brexit; innovation; waste; wales; gross value added; employment; west wales; food; ebbw vale; per capita income; valley; sirhowy valley,-5.0,57.0
Title: Merlot from Alps - Ticino. Event: Story begin. Description: The MOVING reference member state of this VC is SWITZERLAND. The reference MOVING Card ID of this VC is VC CH 01. Key actors of the VC are represented mostly by small individual winegrowers; who are selling the grapes to bigger private wineries. Most of the producers; 75;8%; cultivate an area smaller than 0.2 ha; so some of the small winegrowers tend to cooperate vinifying their harvests together; in order to guarantee the requested quality standards.The high level imposed by the VITI label has had a decisive influence in making Ticino wine known and appreciated on the national market; and has helped to ensure a progressive economic interest in local wine-growing.,384,innovation; bed; alps; year; switzerland; municipality; swiss alps; gross value added; employment; reference; number; mountain; population density; merlot; castel san pietro; monte generoso; mendrisio; per capita income; viticulture; majority; asset; terrain; wine; landscape,8.231973055555555,46.798561944444444
Title: Gastro village Köveskál Eat the View. Event: Story begin. Description: The MOVING reference member state of this VC is HUNGARY. The reference MOVING Card ID of this VC is VC 02 HU. The Gastro-village is successful area of rural tourism; mainly due to a few fine-dining restaurants; wineries; cafes; making the whole area very fashionable. The most interesting aspect is the Eat the View phenomena: The hype of the place ; attracting most of the visitors; is created by the Gastro village ; that; apart from being nested in the local landscape; has little to do with the locality. Thus; the Gastro-village is very relevant to land use; environment and local culture; and is also highly susceptible to demographic changes; overexploitation and climate change.,114,bed; year; municipality; tourism; pollution; hungary; transdanubian mountains; number; population density; hotel; village; traffic; sidewalk; innovation; art; business; köveskál; restaurant; destinations; tapolca; gross value added; employment; people; food; veszprém county; marketing; veszprém; infrastructure; organization; per capita income; self; budapest; visitor; wine; landscape; governance,19.0,47.0
Title: Cosmetics; health products and herbal tea in Pannonhalma. Event: Story begin. Description: The MOVING reference member state of this VC is HUNGARY. The reference MOVING Card ID of this VC is VC 08 HU. It is part of an exceptionally well designed high value added local products' cluster; run by a monastery; mixing thousand year tradition with modern design and marketing tools; selling history and culture (it is an UNESCO World Heritage site) as much as products. Chocolate and biscuits using locally produced herbs; honey; etc. processed; packaged and marketed with innovative design. Most of the production is organic. They use the profit made through local products for maintaining natural and cultural heritage and supporting social and religious aims.,120,bed; year; fruit; north; bath salts; tourism; vegetable; hungary; transdanubian mountains; presentation; reference; abbey; number; mountain; population density; world; mixture; school; design; west; brewery; tradition; winery; herb; innovation; border; town; workshop; bakony; gross value added; history; employment; pannonhalma; community; respect; marketing; monastery; per capita income; garden; landscape,19.0,47.0
Title: Independent and guided visits motivated by visiting wild places and seeing wildlife. Event: Story begin. Description: The MOVING reference member state of this VC is SCOTLAND HUTTON. The reference MOVING Card ID of this VC is VC 21 UK. The distinctive and dramatic North-West Highland landscape is based on the contrast and vicinity of the mountains to the coast. Wildlife tourism in the area also benefits from this proximity; often combining opportunities to see marine; coastal; and mountain species. Tour operators include national companies and local guides who offer flexible and bespoke tours. Wildlife tourism in the wider Scottish Highlands was estimatled to be worth £124 million in 2010. Local markets for wildlife and birdwatching also presents opportunities relating to physical and mental well-being. However; there are difficulties in defining this value chain; in terms of it's distinctness from other forms of countryside tourism; and the national/regional tourism 'product'; whichs build on iconography of key species in branding and characterisation of the Highlands in terms of wildness. Non-specific/informal wildlife and nature tourism experiences are contributory in tourism motivations and satisfaction (generating return visits).,267,bed; scottish highlands; year; experience; tours; hillwalking; scotland; reference; number; trail; mountain; population density; imagery; town; gross value added; red deer; sharing; iconography; demand; mainland; coast; moors; wildness; visitor; photography; caithness; agritourism; importance; north; scarcity; value chain; tourism; geology; mountain hare; birdwatching; interest; hospitality; golden eagle; wildlife; innovation; merthyr tydfil; biodiversity; nature; climate; employment; people; grassland; marketing; species; per capita income; well; information; seasonality; providers; landscape,-5.0,57.0
Title: Use of good quality air for healing purposes through recreational stays in high mountains. Event: Story begin. Description: The MOVING reference member state of this VC is SLOVAKIA. The reference MOVING Card ID of this VC is VC 20 SK. Activities: accomodation and healing procedures Key actors: managers; workers in spa resorts; visitors. Positive impact on local and regional SES is an added value to national economy; use of local resources.,333,czechoslovakia; bed; year; poland; vysoké; privacy; high tatras; reference; healing; number; mountain; society; population density; awareness; construction; tradition; slovakia; innovation; town; spa; recreation; health; gross value added; employment; people; demand; urbanization; system; future; per capita income; asset; landscape,20.0,49.0
Title: Chestnut (seed) from chestnut groves at mountain hillsides and surroundings. Event: Story begin. Description: The MOVING reference member state of this VC is PORTUGAL ESTRELA. The reference MOVING Card ID of this VC is VC 09 PT2. At Serra da Estrela hillsides and surroundings there are several hectares of chestnut groves. Chestnuts (seeds) are harvested and sold locally and nationally. Products made from Chestnuts (seeds) area also produced and sold loccally.,217,bed; altitude; year; fruit; portugal; municipality; covilhã; surroundings; manteigas; reference; number; mountain; population density; tradition; seia; innovation; may; electricity; gross value added; employment; june; management; per capita income; october; landscape,-9.183333333333334,38.7
Title: Organic and demeter certified juices. Event: Story begin. Description: The MOVING reference member state of this VC is SKANDINAVIAN UCO. The reference MOVING Card ID of this VC is VC 14 SCA. Jønsi Gård on Hjuksebø in Telemark is Norway's largest producer of biodynamic apples and has been Demeter approved since 1991. On the farm there are over 20 different apple varieties with an annual production around 30-50 tons. Besides; they have around 40 bee hives to ensure pollination and they consequently produce honey as a by product.,307,innovation; bed; year; festival; gross value added; employment; juice; water; demand; blues; demeter; reference; number; mountain; population density; museum; notodden; norway; per capita income; telemark; landscape,14.76093611111111,64.77964194444445
Title: LIVE SHEEP and LAMBS FOR SLAUGHTER. Event: Story begin. Description: The MOVING reference member state of this VC is ROMANIA. The reference MOVING Card ID of this VC is VC 08 RO. Specialist trading companies such as 'Seradria' have a network of partners managing collection points in the main sheep producing regions in Romania. 'Seradria' has annual capacity to expert up to 150;000 live animals per year (including cattle and bulls for breeding). Collection points include 'Agratransilvania' in the commune of Ca a in Bra ov county (https://agratransilvania.ro). There is a clear distinction between the value chains for sheep and those for lambs. Most sheep are exported to the Middle East (Libya and Jordan) with a particular focus upon the Islamic ritual called Eid al-Adha (the 'Festival of the Sacrifice'). Exports of live lambs are targetted more at EU countries - notably Greece and Italy. For more information see here: https://seradria.com/blog/romania-europes-largest-live-sheep-exporter-who-buys-most-of-our-sheep.html Exports are authorised by the Romanian sanitary veterinary authorities who aim to ensure that: All livestock accomodation is in accordance with EU welfare standards; Sanitary and veterinary certificates are available; and; Effective traceability systems are in place.,236,saudi arabia; bed; altitude; november; expert; animal welfare; year; commune; county; value chain; existence; ship; romania; blog; reference; number; mountain; population density; world; greece; jordan; cargo; export; europe; italy; sheep; carpathian mountains; innovation; biodiversity; transylvania; ritual; cattle; gross value added; employment; water; libya; breed; grassland; hill; transhumance; middle east; per capita income; attention; information; tsigai; landscape; black sea; cargo ship,25.0,46.0
Title: Beer - local minibreweries. Event: Story begin. Description: The MOVING reference member state of this VC is CZECH REPUBLIC. The reference MOVING Card ID of this VC is VC 14 CZ. Founding a new local brewery require high investment. The local breweries are set up by sole organization; or within diversification activities of already existing businesses; such as restuarants or hotels. Setting up a brewery also requires speciliazed knowledge of technology. Production of beer in small and mini breweries does not require land; nor local agricultural crops; but local water. What contributes to the success; beside the objective quality of the product; is the marketing that often utilizes local culture and tradions in marketing and branding.,55,bed; altitude; forest; year; tourism; project; arable land; number; population density; czech republic; brewery; trutnov; beer; knowledge; investment; gastronomy; gross value added; technology; history; employment; economy; water; food; grassland; marketing; future; organization; per capita income; landscape,16.0,50.0
Title: 'DULCEA '. Event: Story begin. Description: The MOVING reference member state of this VC is ROMANIA. The reference MOVING Card ID of this VC is VC 17 RO. The Dulcea made in the Valea Doftanei commune is an artisanal product manufactured on a small-scale by a single household business. All ingredients are grown or hand-picked locally according to the season. The Dulcea is sold in small 200 - 350 gramme jars that are labelled in full accordance with national legislation; including prominent display of the 'Mountain Product' logo. Sales of the Dulcea are the primary source of household income for the producer and also contribute positively to the local village economy.,245,bed; year; commune; southern carpathians; county; romania; sales; homemade jam; reference; number; mountain; population density; bucharest; responsibility; logo; village; legislation; carpathian mountains; knowledge; innovation; prahova county; eastern carpathians; business; accordance; confidence; gross value added; economy; employment; bucegi mountains; prahova valley; rural development; derogation; per capita income; household; valley; valea doftanei; landscape,25.0,46.0
Title: 'MEADOWS IN THE MOUNTAINS' FESTIVAL. Event: Story begin. Description: The MOVING reference member state of this VC is BULGARIA. The reference MOVING Card ID of this VC is VC 12 BG.,33,innovation; bed; smolyan province; year; festival; bulgaria; municipality; gross value added; employment; reference; marketing; number; mountain; population density; music; smolyan; per capita income; village; rhodope mountains; landscape,25.5,42.75
